id,name,orig_name
276,GRANDMAS MIXD VEGETABLE PICKLE,GRANDMAS MIXD VEGETABLE PICKLE
277,ATTICA KALAMATA OLIVES,ATTICA KALAMATA OLIVES
278,ANTOOR SANDAL N MILK,ANTOOR SANDAL N MILK
279,GRAMIYAA SESAME EXTRA VIRGIN OIL,GRAMIYAA SESAME EXTRA VIRGIN OIL
280,GOYA JACK MACKREL IN TOMATO SAUCE,GOYA JACK MACKREL IN TOMATO SAUCE
281,AS SALAAM CHEESEY CHICKEN KABAB,AS SALAAM CHEESEY CHICKEN KABAB
282,JACOBS CREAM CRACKERS,JACOBS CREAM CRACKERS
283,HAMDARD JOSHINA,HAMDARD JOSHINA
284,JOY KULFI,JOY KULFI
285,ILIADA XTRA VIRGIN KALAMATA OLV OIL,ILIADA XTRA VIRGIN KALAMATA OLV OIL
286,24 MANTRA ORG CUMIN POWDER,24 MANTRA ORG CUMIN POWDER
287,GITS IDLI MIX,GITS IDLI MIX
288,EVEREST EGG CURRY MASALA,EVEREST EGG CURRY MASALA
289,IPEK FINGER COOKIES WITH SESAME,IPEK FINGER COOKIES WITH SESAME
290,BABA 120 SAFFRON BLENDED,BABA 120 SAFFRON BLENDED
291,HALDIRAMS RAJASTHANI PARATHA,HALDIRAMS RAJASTHANI PARATHA
292,BIKAJI BHALLA DAHI BHALLA,BIKAJI BHALLA DAHI BHALLA
293,INDIAN HILLS PURE HIMALAYAN PINK SALT,INDIAN HILLS PURE HIMALAYAN PINK SALT
294,ANAND MALABAR POROTTA 17PC,ANAND MALABAR POROTTA 17PC
295,BANSI DHANA DAL,BANSI DHANA DAL
296,ALYA ORGANIC PITTED DEGLET DATES,ALYA ORGANIC PITTED DEGLET DATES
297,A 1 POTATO CHIPS CHILLI TOMATO,A 1 POTATO CHIPS CHILLI TOMATO
298,GITS SANDWICH DHOKLA MIX,GITS SANDWICH DHOKLA MIX
299,GLAD LARGE TRASH BAG,GLAD LARGE TRASH BAG
300,AMUL BELGIAN CHOCOLATE,AMUL BELGIAN CHOCOLATE
301,24 MANTRA ORG URAD WHITE WHOLE,24 MANTRA ORG URAD WHITE WHOLE
302,CHIMTA LARGE,CHIMTA LARGE
303,HESH MULTANI MATI,HESH MULTANI MATI
304,EMB CHOCO SANDWICH,EMB CHOCO SANDWICH
305,BRADS ORGANIC KOMBUCHA GREEN TEA,BRADS ORGANIC KOMBUCHA GREEN TEA
